dateTime,value
2023-05-11T17:28:24.000,114
2023-05-11T17:28:25.000,114
2023-05-11T17:28:26.000,115
2023-05-11T17:28:27.000,118
2023-05-11T17:28:28.000,120
2023-05-11T17:28:29.000,123
2023-05-11T17:28:30.000,123
2023-05-11T17:28:31.000,123
2023-05-11T17:28:32.000,119
2023-05-11T17:28:33.000,113
2023-05-11T17:28:34.000,100
2023-05-11T17:28:35.000,97
2023-05-11T17:28:36.000,100
2023-05-11T17:28:37.000,103
2023-05-11T17:28:38.000,107
2023-05-11T17:28:39.000,109
2023-05-11T17:28:40.000,111
2023-05-11T17:28:41.000,112
2023-05-11T17:28:42.000,113
2023-05-11T17:28:43.000,113
2023-05-11T17:28:44.000,112
2023-05-11T17:28:45.000,110
2023-05-11T17:28:46.000,110
2023-05-11T17:28:47.000,112
2023-05-11T17:28:48.000,114
2023-05-11T17:28:49.000,116
2023-05-11T17:28:50.000,116
2023-05-11T17:28:51.000,114
2023-05-11T17:28:52.000,111
2023-05-11T17:28:53.000,110
2023-05-11T17:28:54.000,111
2023-05-11T17:28:55.000,111
2023-05-11T17:28:56.000,116
2023-05-11T17:28:57.000,119
2023-05-11T17:28:58.000,120
2023-05-11T17:28:59.000,120
2023-05-11T17:29:00.000,116
2023-05-11T17:29:01.000,102
2023-05-11T17:29:02.000,99
2023-05-11T17:29:03.000,96
2023-05-11T17:29:04.000,96
2023-05-11T17:29:05.000,101
2023-05-11T17:29:06.000,105
2023-05-11T17:29:07.000,108
2023-05-11T17:29:08.000,108
2023-05-11T17:29:09.000,109
2023-05-11T17:29:10.000,109
